Page,Pageviews,Avg. Time on Page,Entrances,Bounce Rate
/recreation/sports/soccer,1825,103,844,-53.91
/locations/rose-hill-cemetery,1788,134,1037,-55.06
/animal-shelter/animals/59143,1773,29,73,-61.64
/farmers-market/product-availability,1766,109,406,-78.57
/animal-shelter/animals/60724,1740,15,26,-69.23
/parks/community-gardening,1731,52,755,-30.86
/animal-shelter/animals/56052,1728,10,6,-0.0
/animal-shelter/animals/57879,1727,11,19,-0.0
/animal-shelter/animals/60547,1719,18,27,-74.07
/departments/legal,1704,96,687,-59.39
/animal-shelter/animals/60378,1691,29,44,-59.09
/index.php/animal-shelter/animals/Dog,1680,17,41,-65.85
/animal-shelter/animals/59026,1675,45,51,-70.59
/transportation/parking/downtown/4th-street-parking-garage,1675,95,692,-56.07
/business/districts/ctp,1669,114,746,-58.18
/arts/grants,1662,101,711,-61.74
/farmers-market/prepared-food,1653,37,141,-31.91
/animal-shelter/animals/59495,1642,25,16,-62.5
/parks/parks/olcott-park,1632,88,938,-71.22
/animal-shelter/animals/60494,1613,31,81,-71.6
/animal-shelter/animals/58508,1610,22,36,-0.0
/police/employment/recruitment,1596,85,331,-61.33
/transportation,1595,23,151,-39.74
/animal-shelter/animals/58687,1587,9,10,-0.0
/utilities/information,1582,59,364,-46.43
/animal-shelter/animals/58837,1575,9,10,-40.0
/animal-shelter/animals/58711,1568,28,59,-35.59
/animal-shelter/animals/59525,1555,28,24,-79.17
/boards/arts,1545,77,537,-39.48
/business,1532,32,334,-49.4
/animal-shelter/animals/61364,1531,16,8,-62.5
/sustainability/solarize,1520,101,954,-72.85
/animal-shelter/animals/60061,1509,27,73,-82.19
/animal-shelter/animals/58213,1503,29,39,-33.33
/animal-shelter/animals/60725,1500,11,12,-66.67
/animal-shelter/animals/60753,1500,42,34,-73.53
/animal-shelter/animals/58510,1497,45,36,-52.78
/housing/loans,1493,35,184,-32.61
/historic-bloomington/districts,1486,83,280,-39.64
/animal-shelter/animals/58713,1483,26,90,-10.0
/animal-shelter/animals/61523,1482,30,86,-67.44
/animal-shelter/animals/58821,1480,7,14,-0.0
/about/history,1470,129,886,-67.04
/animal-shelter/animals/59067,1468,28,37,-67.57
/animal-shelter/animals/58466,1464,33,72,-0.0
/animal-shelter/animals/60674,1464,18,12,-41.67
/boards/zoning-appeals,1464,59,558,-26.88
/skatingschool,1462,62,246,-0.0
/sustainability,1449,53,539,-30.61
/animal-shelter/animals/59691,1443,28,44,-70.45
/departments/hr/jobs/healthwellness-coordinator-parks-and-recreation-department,1438,27,172,-31.98
/boards/environment,1430,107,547,-41.68
/animal-shelter/animals/60871,1425,37,102,-64.71
/transportation/bike/bike-share-project,1423,207,1098,-85.06
/civil-marriage-ceremonies,1422,125,941,-63.66
/animal-shelter/animals/58862,1418,25,34,-73.53
/animal-shelter/animals/59334,1417,36,80,-70.0
/animal-shelter/animals/61227,1412,20,24,-70.83
/animal-shelter/animals/58920,1404,32,65,-83.08
/animal-shelter/animals/56833,1397,19,12,-25.0
/animal-shelter/animals/58505,1395,31,53,-75.47
/animal-shelter/animals/61409,1388,36,54,-75.93
/animal-shelter/animals/59924,1386,13,17,-58.82
/locations/picnic-shelters-lower-cascades-park,1380,69,240,-57.92
/animal-shelter/lost/Cat,1364,8,14,-21.43
/departments/hr/jobs/market-master-specialist-parks-and-recreation-department,1362,91,596,-87.92
/news/2018/05/04/3517,1362,169,1272,-95.83
/animal-shelter/animals/57491,1356,43,72,-79.17
/animal-shelter/animals/58840,1352,15,24,-8.33
/departments/hr/internships,1352,65,417,-55.88
/animal-shelter/animals/58162,1346,15,27,-0.0
/animal-shelter/animals/57477,1337,25,27,-77.78
/animal-shelter/animals/58631,1334,7,8,-0.0
/parks/parks/ferguson-dog-park/rules,1334,138,265,-66.79
/animal-shelter/animals/58501,1327,57,118,-78.81
/housing/financial-assistance,1323,96,353,-60.06
/animal-shelter/animals/58688,1314,12,13,-0.0
/news/2018/11/15/3758,1311,168,1202,-93.84
/animal-shelter/animals/60880,1310,38,63,-79.37
/parks/facilities/frank-southern/skating-school,1306,191,525,-67.81
/parks/trails/cascades-park-trail,1304,70,255,-50.98
/farmers-market/parking,1297,116,569,-62.74
/parks/facilities/community-gardening/willie-streeter-community-garden,1284,110,339,-58.11
/parks/parks/rca-community-park,1279,75,518,-58.69
/housing/renters/legal-questions,1272,44,236,-55.08
/animal-shelter/animals/61204,1270,22,19,-52.63
/transportation/parking/downtown/7th-and-walnut-street-parking-garage,1270,69,521,-60.84
/housing/landlords,1269,23,126,-30.16
/animal-shelter/animals/59212,1264,31,27,-55.56
/boards/jack-hopkins,1263,123,509,-44.6
/parks/community-events/pumpkin-launch,1263,209,1045,-87.85
/recreation/programs/10164,1263,88,996,-54.42
/animal-shelter/animals/59521,1258,12,9,-88.89
/latino,1258,69,566,-49.29
/animal-shelter/animals/57930,1254,11,11,-0.0
/index.php/node/3469,1254,286,1155,-93.16
/animal-shelter/animals?species=Dog&form_build_id=form-Iuyb3_hZl_gELZ4LSHJ2iRB-wr867fdmmxTDleP6Acs&form_id=asm_animalsearchform&op=Search,1249,21,549,-4.01
/utilities/commercial,1248,70,70,-44.29
/boards/plan/comprehensive-plan,1247,106,443,-39.28
/boards/sustainability,1242,80,309,-38.83
/recreation/sports/baseball,1235,78,482,-49.38
/departments/controller,1230,64,306,-65.36
/animal-shelter/animals/58835,1228,8,10,-30.0
/animal-shelter/animals/59415,1221,42,55,-72.73
/animal-shelter/animals/47717,1220,15,15,-0.0
/housing/rental-complaints,1216,102,297,-61.28
/animal-shelter/animals/59659,1214,21,29,-65.52
/animal-shelter/animals/60384,1213,31,27,-81.48
/animal-shelter/animals/58978,1201,22,28,-60.71
/mpo,1194,32,478,-20.08
/animal-shelter/animals/58500,1193,11,13,-30.77
/animal-shelter/animals/57092,1187,12,18,-16.67
/animal-shelter/animals/58638,1184,11,24,-29.17
/utilities/service-center,1180,68,207,-63.77
/animal-shelter/animals/60179,1178,42,34,-67.65
/animal-shelter/animals/61725,1167,50,81,-60.49
/animal-shelter/animals/61367,1164,21,16,-62.5
/parks/facilities/allison-jukebox,1156,96,451,-50.55
/index.php/news/2018/09/25/3701,1147,261,1054,-91.08
/boards/domestic-violence,1137,97,566,-57.24
/node/3335,1134,39,503,-43.74
/animal-shelter/animals/57336,1131,14,14,-0.0
/news/2018/06/27/3575,1121,282,929,-90.1
/animal-shelter/animals/60869,1120,24,45,-68.89
/animal-shelter/animals/60433,1119,26,27,-62.96
/planning/documents,1119,73,84,-42.86
/animal-shelter/animals/58535,1116,15,16,-25.0
/departments/police/message-from-the-chief,1116,68,387,-54.01
/news/2018/02/17/3183,1116,66,446,-49.78
/parks/facilities,1116,26,49,-34.69
/utilities/contractors,1116,53,117,-59.83
/animal-shelter/animals/57285,1113,28,33,-66.67
/animal-shelter/animals/60414,1112,18,13,-69.23
/news/2018/02/12/3161,1108,76,847,-83.0
/police/gun-permits,1108,81,589,-61.29
/animal-shelter/animals/57325,1107,18,14,-64.29
/animal-shelter/animals/58472,1107,25,14,-35.71
/transportation/parking/downtown-parking/morton-st-garage,1103,26,265,-0.75
/animal-shelter/animals/58718,1101,8,8,-0.0
/parks/parks/third-st-park,1090,127,750,-68.13
/animal-shelter/animals/58729,1088,19,11,-0.0
/animal-shelter/animals/58280,1084,11,5,-0.0
/utilities/,1082,34,721,-28.02
/parks/parks/latimer-woods,1081,113,692,-63.58
/animal-shelter/animals/57278,1076,31,26,-65.38
/animal-shelter/animals/59089,1074,28,16,-75.0
/animal-shelter/animals/59103,1070,29,66,-60.61
/police/,1066,49,663,-59.28
/animal-shelter/animals/58605,1064,35,38,-60.53
/boards/community-accessibility,1064,81,348,-47.41
/animal-shelter/animals/61109,1058,26,11,-63.64
/animal-shelter/animals/57926,1056,11,13,-0.0
/departments/hr/jobs/environmental-programs,1055,32,78,-14.1
/departments/transit,1055,61,544,-62.13
/health/insurance,1055,97,581,-68.33
/animal-shelter/animals/59406,1050,14,6,-50.0
/departments/hr/jobs/front-end-developer-its-department-0,1050,25,50,-18.0
/parks/parks/upper-cascades-park,1047,74,399,-53.88
/animal-shelter/animals/58831,1041,17,24,-0.0
/departments/clerk,1041,33,232,-34.48
/animal-shelter/animals/58214,1040,13,14,-0.0
/animal-shelter/animals/58847,1034,30,14,-57.14
/animal-shelter/animals/58627,1033,9,11,-18.18
/animal-shelter/animals/58445,1030,14,9,-0.0
/welcome,1028,49,147,-48.98
/boards/status-of-black-males,1019,70,441,-49.66
/animal-shelter/animals/59235,1017,20,12,-75.0
/animal-shelter/animals/60649,1016,20,26,-65.38
/animal-shelter/animals/60255,1014,34,37,-70.27
/animal-shelter/animals/59962,1010,9,4,-75.0
/mlk-day/birthday-celebration,1010,40,331,-22.05
/animal-shelter/animals/59196,1009,26,17,-52.94
/documents/viewDocument.php?document_id=6112,1007,68,779,-64.96
/parks/parks/winslow-woods-park,1007,101,402,-57.71
/health,1006,39,215,-42.33
/animal-shelter/animals/60687,1005,19,31,-83.87
/departments/hr/jobs/healthwellness-coordinator-parks-and-recreation-department-0,1005,27,102,-4.9
/police/fees,1005,69,370,-65.41
/mlk-day,998,31,137,-13.14
/boards/redevelopment,994,46,215,-42.79
/animal-shelter/animals/58673,992,18,50,-0.0
/animal-shelter/animals/58415,988,15,21,-0.0
/recreation/recreation,982,45,171,-22.81
/recreation/programs/10403,981,50,382,-29.58
